State,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984
United States,"67,521","68,703","63,179","61,136","59,039","56,516","53,657","51,939","51,017","50,054","49,276","49,777","50,303","50,233","48,201","46,326","44,334","43,318","42,409","42,228","41,990","40,696","38,885","37,005","35,492","34,076","32,264","31,241","30,636","30,126","29,943","28,906","27,225","26,061","24,897","23,618","22,415"
Alabama,"54,393","56,200","49,936","50,865","47,221","44,509","42,278","41,381","43,464","42,590","40,933","39,980","44,476","42,212","37,952","37,150","36,629","37,255","37,603","35,160","35,424","36,251","36,266","31,939","30,302","25,991","27,196","25,082","25,808","24,346","23,357","21,284","19,948","19,734","19,132","18,333","17,310"
Alaska,"74,476","78,394","68,734","77,987","75,723","75,112","67,629","61,137","63,648","57,431","57,848","61,604","63,989","62,993","56,418","55,891","55,063","51,837","52,774","57,363","52,847","51,396","50,692","47,994","52,779","47,954","45,367","42,931","41,802","40,612","39,298","36,006","33,103","33,233","31,356","34,782","32,356"
Arizona,"66,628","70,674","62,283","59,700","57,100","52,248","49,254","50,602","47,044","48,621","46,896","45,739","46,914","47,215","46,657","45,245","43,846","41,166","39,734","42,704","39,783","36,995","37,090","32,740","31,637","30,863","31,293","30,510","29,358","30,737","29,224","28,552","26,435","26,749","25,500","23,877","21,425"
Arkansas,"50,540","54,539","49,781","49,751","45,907","42,798","44,922","39,919","39,018","41,302","38,587","36,538","39,586","40,795","37,057","36,658","34,984","32,002","32,387","33,339","29,697","29,682","27,665","26,162","27,123","25,814","25,565","23,039","23,882","23,435","22,786","21,433","20,172","18,827","18,730","17,451","15,674"
California,"77,358","78,105","70,489","70,038","66,637","63,636","60,487","57,528","57,020","53,367","54,283","56,134","57,014","55,734","55,319","51,755","49,222","49,300","47,437","47,262","46,816","43,629","40,934","39,694","38,812","37,009","35,331","34,073","34,903","33,664","33,290","33,009","30,287","30,146","29,010","26,981","25,287"
Colorado,"82,611","72,499","73,034","74,984","70,566","66,596","60,940","63,371","57,255","58,629","60,233","55,930","60,943","61,141","55,697","50,449","50,886","49,940","48,294","49,397","48,240","48,177","46,599","43,233","40,950","40,706","37,833","34,488","32,484","31,499","30,733","26,806","26,214","26,476","27,192","28,182","25,801"
Connecticut,"79,043","87,291","72,812","74,304","75,923","72,889","70,161","67,781","64,247","65,415","65,998","64,851","64,682","64,141","62,404","56,835","55,100","54,965","53,387","53,347","50,172","50,593","46,508","43,985","42,119","40,243","41,097","39,516","40,841","42,154","38,870","42,321","36,213","32,862","32,721","31,090","29,951"
Delaware,"69,132","74,194","65,012","64,961","58,046","57,756","57,522","52,219","48,972","54,660","55,214","52,114","50,702","54,589","52,438","51,235","48,049","49,019","49,650","49,602","50,365","46,628","41,458","43,033","39,309","34,928","35,873","36,064","35,678","32,585","30,804","32,068","30,505","29,244","25,626","22,980","25,819"
District of Columbia,"88,311","93,111","85,750","81,282","70,982","70,071","68,277","60,675","65,246","55,251","56,928","53,141","55,590","50,783","48,477","44,993","43,451","45,044","39,070","41,169","41,222","38,670","33,433","31,860","31,966","30,748","30,116","27,304","30,247","29,885","27,392","26,752","26,741","27,455","24,322","21,076","20,408"
Florida,"57,435","58,368","54,644","53,086","51,176","48,825","46,140","47,886","46,071","45,105","44,066","45,631","44,857","45,794","45,676","42,990","40,535","38,972","38,024","36,421","38,856","35,831","34,909","32,455","30,641","29,745","29,294","28,550","27,349","27,252","26,685","26,085","25,406","24,489","22,849","21,343","19,785"
Georgia,"58,952","56,628","55,821","57,985","53,527","50,768","49,555","47,439","48,121","45,973","44,117","43,340","46,227","48,641","49,344","45,926","40,984","42,438","42,939","42,576","41,901","39,425","38,665","36,663","32,496","34,099","31,467","31,663","28,797","27,212","27,561","27,542","26,566","26,714","24,370","21,049","19,984"
Hawaii,"80,729","88,006","80,108","73,599","72,133","64,514","71,223","61,408","56,263","59,047","59,539","55,649","61,521","64,022","60,470","59,586","56,242","51,834","47,303","47,439","51,546","44,504","40,827","40,934","41,772","42,851","42,255","42,662","42,113","37,246","38,921","35,035","33,024","35,022","29,003","28,961","28,877"
Idaho,"66,499","65,988","58,728","59,497","56,564","51,624","53,438","51,767","47,922","47,459","47,050","46,778","47,420","49,184","46,213","44,176","44,358","42,372","37,715","38,241","37,611","35,800","36,680","33,404","34,709","32,676","31,536","31,010","27,704","26,116","25,305","24,654","23,450","20,755","20,749","20,761","21,092"
Illinois,"73,753","74,399","70,145","65,969","61,386","60,413","54,916","57,196","51,738","50,637","50,728","52,870","53,254","52,506","48,671","48,398","46,077","45,153","42,710","46,171","46,064","46,330","43,178","41,283","39,554","38,071","35,081","32,857","31,551","31,884","32,542","31,300","29,524","27,084","26,511","24,870","23,752"
Indiana,"66,360","66,693","59,892","58,767","56,094","51,983","48,060","50,553","46,158","44,445","46,139","44,305","46,520","47,453","45,407","42,437","42,329","42,425","41,047","40,379","40,865","40,838","39,731","38,889","35,147","33,385","27,858","29,475","28,530","27,089","26,928","25,898","26,293","22,519","22,728","22,675","22,770"
Iowa,"68,469","66,054","68,718","63,467","59,094","60,855","57,810","54,855","53,442","50,219","49,016","50,721","50,142","48,908","48,126","46,500","43,391","41,384","41,049","40,976","40,991","41,098","37,019","33,783","33,209","35,519","33,079","28,663","28,743","28,553","27,288","26,265","24,305","22,190","22,459","20,927","19,863"
Kansas,"72,815","73,151","63,938","56,900","56,810","54,865","53,444","51,485","50,003","46,147","46,054","44,717","47,877","48,497","45,552","42,027","41,066","44,232","42,619","41,415","41,059","37,348","36,711","36,471","32,585","30,341","28,322","29,770","30,346","29,295","29,917","26,862","25,566","25,583","23,926","22,788","24,629"
Kentucky,"56,525","55,662","54,555","49,672","45,369","42,387","42,786","42,158","41,086","39,856","41,104","42,664","41,148","39,452","39,485","36,699","35,610","36,936","36,762","38,437","36,265","33,738","36,252","33,452","32,413","29,810","26,595","24,376","23,485","23,764","24,780","23,283","19,907","20,673","19,874","17,361","17,680"
Louisiana,"50,935","51,707","49,973","43,565","42,196","45,922","42,406","39,622","39,085","40,658","39,300","45,433","39,563","41,313","36,488","37,236","36,429","33,507","34,008","33,322","30,718","32,654","31,735","33,260","30,262","27,949","25,676","26,312","25,439","25,299","22,405","22,861","20,497","21,349","20,890","21,179","18,949"
