year,State,State Minimum Wage,Effective Minimum Wage,Median Household Income
1992,Tennessee,0,7.84,24318
1992,Texas,6.18,7.84,27953
1992,Utah,7.84,7.84,34251
1992,Vermont,7.84,7.84,32755
1992,Virginia,6.73,7.84,38198
1992,Washington,7.84,7.84,33900
1992,West Virginia,7.01,7.84,20271
1992,Wisconsin,7.01,7.84,33308
1992,Wyoming,2.95,7.84,30209
1993,Alabama,0,7.61,25082
1993,Alaska,8.5,8.5,42931
1993,Arizona,0,7.61,30510
1993,Arkansas,6.53,7.61,23039
1993,California,7.61,7.61,34073
1993,Colorado,5.37,7.61,34488
1993,Connecticut,7.64,7.64,39516
1993,Delaware,7.61,7.61,36064
1993,District of Columbia,6.98,7.61,27304
1993,Florida,0,7.61,28550
1993,Georgia,5.82,7.61,31663
1993,Hawaii,6.89,7.61,42662
1993,Idaho,7.61,7.61,31010
1993,Illinois,7.61,7.61,32857
1993,Indiana,6,7.61,29475
1993,Iowa,8.32,8.32,28663
1993,Kansas,4.74,7.61,29770
1993,Kentucky,7.61,7.61,24376
1993,Louisiana,0,7.61,26312
1993,Maine,7.61,7.61,27438
1993,Maryland,7.61,7.61,39939
1993,Massachusetts,7.61,7.61,37064
1993,Michigan,6,7.61,32662
1993,Minnesota,7.61,7.61,33682
1993,Mississippi,0,7.61,22191
1993,Missouri,7.61,7.61,28682
1993,Montana,7.61,7.61,26470
1993,Nebraska,7.61,7.61,31008
1993,Nevada,7.61,7.61,35814
1993,New Hampshire,7.61,7.61,37964
1993,New Jersey,7.61,7.61,40500
1993,New Mexico,6,7.61,26758
1993,New York,7.61,7.61,31697
1993,North Carolina,6.8,7.61,28820
1993,North Dakota,7.61,7.61,28118
1993,Ohio,7.61,7.61,31285
1993,Oklahoma,7.61,7.61,26260
1993,Oregon,8.5,8.5,33138
1993,Pennsylvania,7.61,7.61,30995
1993,Rhode Island,7.97,7.97,33509
1993,South Carolina,0,7.61,26053
1993,South Dakota,7.61,7.61,27737
1993,Tennessee,0,7.61,25102
1993,Texas,6,7.61,28727
1993,Utah,7.61,7.61,35786
1993,Vermont,7.61,7.61,31065
1993,Virginia,6.53,7.61,36433
1993,Washington,7.61,7.61,35655
1993,West Virginia,6.8,7.61,22421
1993,Wisconsin,6.8,7.61,31766
1993,Wyoming,2.86,7.61,29442
1994,Alabama,0,7.42,27196
1994,Alaska,8.29,8.29,45367
1994,Arizona,0,7.42,31293
1994,Arkansas,7.42,7.42,25565
1994,California,7.42,7.42,35331
1994,Colorado,5.24,7.42,37833
1994,Connecticut,7.45,7.45,41097
1994,Delaware,7.42,7.42,35873
1994,District of Columbia,7.42,7.42,30116
1994,Florida,0,7.42,29294
1994,Georgia,5.67,7.42,31467
1994,Hawaii,9.16,9.16,42255
1994,Idaho,7.42,7.42,31536
1994,Illinois,7.42,7.42,35081
1994,Indiana,5.85,7.42,27858
1994,Iowa,8.12,8.12,33079
1994,Kansas,4.63,7.42,28322
1994,Kentucky,7.42,7.42,26595
1994,Louisiana,0,7.42,25676
1994,Maine,7.42,7.42,30316
1994,Maryland,7.42,7.42,39198
1994,Massachusetts,7.42,7.42,40500
1994,Michigan,5.85,7.42,35284
1994,Minnesota,7.42,7.42,33644
1994,Mississippi,0,7.42,25400
1994,Missouri,7.42,7.42,30190
